id;fecha_inicio;fecha_fin;lenguaje
1;2023-02-10T10:41:55;2023-02-10T17:27:32;INGLES
2;2023-02-10T18:04:25;2023-02-10T10:59:07;ESPANOL
3;2023-02-10T13:19:36;2023-02-09T23:36:28;PORTUGUES
4;2023-02-10T18:32:53;2023-02-10T14:43:17;INGLES
5;2023-02-10T18:48:16;2023-02-10T17:41:03;ESPANOL
6;2023-02-10T21:02:14;2023-02-10T16:48:56;ESPANOL
7;2023-02-10T11:55:05;2023-02-10T00:40:49;INGLES
8;2023-02-10T17:43:07;2023-02-10T20:22:45;ESPANOL
9;2023-02-10T03:19:41;2023-02-10T04:06:40;ESPANOL
10;2023-02-10T03:41:03;2023-02-10T02:19:11;ESPANOL
