id;calle;codigo_postal;ciudad;provincia
1;communities;Andalucía hack payment;programming Patatas transmit;Guapo Métricas Hormigon
2;Producto bidireccional Uzbekistan;firmware;Sabroso;Guinea
3;deposit;Fantástico withdrawal Vatu;Madera programming;e-enable hacking Card
4;Estratega B2B scale;open-source;global;Yuan
5;Web;moderador;CSS;Suiza empower
6;Interno;Avon Salud interface;e-enable;Refinado Riera
7;Litas Open-source;SDD holistic invoice;Bedfordshire Artesanal;Account
8;Distrito;transparent Gris;Sabroso Paradigma;Corporativo Asistente mindshare
9;Apartamento AI Avon;Bedfordshire Extremadura;Inteligente;Plaza Hormigon
10;Estratega quantifying cross-platform;Senda;Plástico;Juguetería Quinta Granito
